Rank,Club,Seasons,Pld,W,D,L,GF,GA,GD,Pts,FW,F,SF,QF
1,Real Madrid,54,482,291,81,110,1063,528,+535,663,14,17,32,38
2,Bayern Munich,40,388,234,77,77,816,379,+437,545,6,11,20,33
3,Barcelona,34,345,201,76,68,679,349,+330,478,5,8,17,24
4,Manchester United,31,299,161,70,68,545,299,+246,392,3,5,12,19
5,Juventus,37,301,153,70,78,479,301,+178,376,2,9,12,19
6,Milan,31,273,133,70,70,442,259,+183,336,7,11,14,18
7,Liverpool,27,248,142,50,56,472,228,+244,334,6,10,12,17
8,Benfica,43,293,131,68,94,482,345,+137,330,2,7,8,20
9,Porto,38,275,125,61,89,410,312,+98,311,2,2,3,11
10,Ajax,39,247,112,64,71,396,282,+114,288,4,6,9,13
11,Dynamo Kyiv,39,254,104,55,95,350,315,+35,263,0,0,3,9
12,Chelsea,19,201,104,53,44,342,181,+161,261,2,3,8,12
13,Inter Milan,25,211,101,57,53,298,209,+89,259,3,6,9,13
14,Arsenal,22,207,105,44,58,348,222,+126,254,0,1,2,7
15,Celtic,38,228,102,40,86,342,285,+57,244,1,2,4,7
16,Atlético Madrid,19,166,80,44,42,243,158,+85,204,0,3,6,11
17,Borussia Dortmund,22,176,84,35,57,294,218,+76,203,1,2,4,9
18,PSV Eindhoven,31,197,74,48,75,271,253,+18,196,1,1,3,8
19,Paris Saint-Germain,17,149,79,29,41,292,174,+118,187,0,1,3,7
20,Anderlecht,34,200,70,44,86,282,320,–38,184,0,0,2,9
21,Red Star Belgrade,29,157,70,34,53,285,218,+67,174,1,1,4,9
22,Rangers,33,177,65,43,69,248,257,–9,173,0,0,2,6
23,Galatasaray,28,189,63,46,80,237,297,–60,172,0,0,1,5
24,Manchester City,14,125,72,24,29,263,138,+125,168,1,2,4,7
25,Olympiacos,35,186,66,36,84,222,284,–62,168,0,0,0,1
